Website,Overall Sentiment,Article Title,URL,Publication Date,Content Snippet
BBC,0.1139852273145831,Netflix moves Bafta afterparty after hotel fire,https://www.bbc.co.uk/news/articles/c5yd1377n3eo,,"Netflix has been forced to move its Bafta Film Awards afterparty after the original venue was evacuated due to a fire. Scores of firefighters took more than five hours to tacklethe blaze on Friday at the Chiltern Firehouse, a five-star hotel in Marylebone in central London. The streaming giant will now hold its event on Sunday night at The Twenty Two, a luxury hotel in London's Mayfair. An investigation has been launched over the fire, which led to the evacuation of 100 guests. London Fire Brigade (LFB) said no injuries were reported, but the venue will remain closed until further notice. The Bafta Film Awards are being held at London's Royal Festival Hall on Sunday. Pope selection drama Conclave leads the Bafta field with 12 nominations, followed by Emilia Pérez, The Brutalist and Anora. After the ceremony, which will be hosted by David Tennant, actors, producers, directors and others within the industry will flock to a number of afterparties being held around the capital. Baftas 2025: The nominations list in full The main Bafta afterparty will take place at the Southbank Centre. But Netflix is hosting its own party to recognise its talent. The US media firm has multiple nominations, including for Spanish-language musical Emilia Pérez. It had planned to hold the event at the Chiltern Firehouse - a well-known celebrity hotspot which has previously hosted A-listers including Dua Lipa, Lady Gaga, Tom Cruise and Johnny Depp. This video can not be played BBC News However, the hotel's owner Andre Balazs said the venue will ""remain closed until further notice"" following Friday's fire. ""We are grateful to confirm that no one was hurt, and our guests and staff safely evacuated,"" he added. Fire crews from Euston, Soho, Paddington, West Hampstead, Kensington, Chelsea, and surrounding fire stations were deployed after first being called just before 15:00 GMT, with videos on social media showing firefighters using a crane to douse flames as they engulfed the top of the building. The fire service said the blaze started in ducting and spread from the ground floor to the roof of the four-storey hotel, and was under control by shortly after 20:00. The cause is under investigation. Located on Chiltern Street, the hotel occupies the site of a Victorian fire station built in 1889. The Chiltern Firehouse opened in 2013 as a 26-suite hotel and 200-seater restaurant. Fire rips through luxury central London hotel..."
BBC,0.1139852273145831,Netflix chief: Emilia Pérez controversy a 'bummer',https://www.bbc.co.uk/news/articles/c5yvjd8nr3qo,,"Gascón has said she ""sincerely apologised to everyone who has been hurt"" A senior Netflix executive has said the discovery of historic offensive tweets by the star of Emilia Pérez ""really is a bummer"" for those connected to the film. Tweets posted by Oscar nominee Karla Sofía Gascón,mostly between 2019 and 2024,have caused significant fallout and left the film's awards campaign in disarray. The Spanish actress has ""sincerely apologised to everyone who has been hurt"" and stepped back from the film's awards campaign. In a new interview, Netflix's chief content officer Bela Bajaria said: ""I think it's really a bummer for the 100 incredibly talented people who made an amazing movie."" Speaking to The Town podcast, Bajaria continued: ""If you look at the nominations, and all of this awards love that it's received, I think it's such a bummer that it distracted from that. ""It really has kind of taken the conversation in a different way [from] this incredible movie that Jacques Audiard - who is an incredible director - has made. ""It really is a bummer for a lot of the people, like [co-stars] Zoe [Saldaña] and Selena [Gomez]. And in our awards team did an incredible campaign for that movie."" Bela Bajaria (right, with the film's star Zoe Saldaña) said Netflix did not regret buying the film The original tweets saw Gascón make comments about Islam, George Floyd, and the high level of diversity at the Oscars. After they were brought to light, Gascón said she was ""deeply sorry to those I have caused pain"", adding that she is not racist and that many of her comments had been taken out of context. Asked if Netflix would change its social media vetting process for actors on its projects in the future, Bajaria replied: ""It's not really common practice for people to vet social tweets that way. ""A lot of people are reevaluating that... I do think it is raising questions for a lot of people about reevaluating that process."" She highlighted the logistical difficulties of implementing a vetting process: ""I think you also have to [ask]: Are we going to actually look at the personal social media of tens of thousand of people, every single day around the world, [given the] amount of original film and TV and co-prods that we make and licence? ""It raises a lot of questions about what that should look like."" Emilia Pérez leads the pack at this year's Oscars, with 13 nominations Bajaria added that, despite the tweets, Netflix did not regret its decision to pick up the film. ""If you ask me today, everything I know, we would still buy the movie today,"" she said. ""That movie is incredible and it's creative and it's bold - that's what you want, and it resonated with a lot of people this year."" Gascón pulled out of appearing at several awards season events after the tweets came to light, and is not scheduled to appear at the Baftas on Sunday. It is not yet clear whether she will still attend the Oscars on 2 March. In an Instagram post last week,,externalthe best actress nominee said she wanted to step back and ""let the work talk for itself"". She added she hoped her silence would ""allow the film to be appreciated for what it is, a beautiful ode to love and difference"". Her statement followed an interview the film's directorJacques Audiard gave to Deadline,,externalin which he condemned Gascón's tweets and said he was no longer in contact with her. Netflix had not publicly commented before Bajaria's interview, but the streamer had altered the film's awards campaign following the controversy. Gascón featured prominently in early promotional posters such as this one At this time of year, film studios take out advertisements intended to make a particular film more visible to awards voters. The movie will have already have had a separate promotional push at the time of its release, targeted at the public in the hope of securing high box office or streaming numbers. But the For Your Consideration (FYC) adverts which run during awards season are specifically intended to draw awards voters' attention to the categories the film has been nominated in at events such as the Baftas and Oscars. Previously, Gascón featured prominently in Netflix's publicity material, which reminded voters that she was nominated for best leading actress. But an updated FYC poster,externalreleased last week almost entirely erased Gascón, instead making her co-stars Zoe Saldaña and Selena Gomez much more prominent. ""The shift suggests Netflix is trying to minimize Gascón's contributions so that the controversy around her remarks won't overshadow the film or the work of her co-stars and collaborators,""suggested Variety's Clayton Davis.,external Gascón (pictured on a US chat show in January) has released several statements since the tweets came to light Gascón released several statements following the controversy, mostly via her social media accounts. But she alsogave an emotional, hour-long sit-down interview,externalto CNN en Español. It has since come to light that Gascón took part in the interview without the involvement or agreement of the film's PR team. The Hollywood Reporter said it had learned,externalthat the actress ""set up the interview on her own without the involvement of anyone working on the film, which was distributed by Netflix"". The fact that this line has been briefed to US journalists suggests Netflix is not only distancing itself from Gascón, but that the streamer's own PR team would not have signed off on such an interview being granted. Often, publicity teams advise a celebrity in crisis not to give too many interviews and statements, as it can keep a negative story alive for longer or even make the situation worse. The film's cast had previously attended events such as the Golden Globes together Gascón had been due to appear at several events in the final phase of awards season. These included the AFI Awards luncheon, the Critics Choice Awards, the Directors Guild of America Awards, the Producers Guild of America Awards, and the Santa Barbara International Film Festival. However, the actress pulled out of appearing as the turmoil continued. And that's not all. According to Variety, Netflix and the film's PR team have stopped talking directly with Gascón and are only communicating through an agent. The publication also reported the streamer ""is no longer covering expenses for her travel to the various awards shows or her styling for any appearances at these events"". It remains to be seen whether Gascón will attend the Oscars, which are scheduled to take place on 2 March. The ""Fab Five"" format sees five previous winners of a category pay tribute to that year's nominees Many film fans (ourselves included) love the so-called ""Fab Five"" format, which has been employed at some recent Oscars ceremonies. This sees five previous winners of a particular category take to the stage to present the latest winner with the same prize. For example, last year, Emma Stone was presented with the best actress trophy by previous winners Michelle Yeoh, Jennifer Lawrence, Sally Field, Jessica Lange and Charlize Theron. Traditionally, this format sees each of the previous winners deliver a short speech, paying tribute to the current nominees, before revealing the winner. However, it's understood that the Academy has moved away from doing this in the acting categories this year, which means no actress will be asked to praise Gascón's performance from the stage. Despite speculation, the decision appears to have been unprompted by the recent controversy. Instead, Variety reports the Academy decided to ditch the fab five format for the acting categories several weeks ago, before the tweets came to light, and instead is deploying it in different categories this year, such as best director. Gascón's co-star Zoe Saldaña is the favourite to win best supporting actress Emilia Pérez, a bonkers Spanish-language musical about a Mexican drug lord who changes gender, received 13 Oscar nominations, although it was not necessarily expected to be the biggest winner on the night. It has stiff competition in several categories, including best picture, but it was thought to be a frontrunner in a few in particular, such as best original song, and best supporting actress for Zoe Saldaña. It was widely thought Saldaña would run away with the trophy, not just for her acclaimed performance, but also because there is a lot of goodwill from voters because of her roles in box office smashes such as the Avatar and Marvel movies. After Gascón's tweets came to light, Saldaña said: ""It makes me really sad because I don't support [it], and I don't have any tolerance for any negative rhetoric towards people of any group. ""I can only attest to the experience that I had with each and every individual that was a part, that is a part, of this film, and my experience and my interactions with them was about inclusivity and collaboration and racial, cultural and gender equity. And it just saddens me."" Later, Saldaña used her speech at the London Critics Circle Awards to tell the audience to be ""abstract with your idea of redemption"". Oscar voters and awards pundits will be watching forthcoming events such as the Bafta Film Awards and SAG Awards to see whether Saldaña can still follow through with her expected win. The film's director Jacques Audiard has also distanced himself from Gascón Meanwhile, director Jacques Audiard told Deadline he has avoided getting in touch with Gascón because ""right now she needs space to reflect and take accountability for her actions"". ""Very unfortunately, it is taking up all the space, and that makes me very sad,"" he said. ""It's very hard for me to think back to the work I did with Karla Sofía. The trust we shared, the exceptional atmosphere that we had on the set that was indeed based on trust. ""And when you have that kind of relationship and suddenly you read something that that person has said, things that are absolutely hateful and worthy of being hated, of course that relationship is affected. It's as if you fall into a hole. Because what Karla Sofía said is inexcusable."" After his comments, Gascón posted on Instagram: ""Following Jacques' interview that I understand, I decided, for the film, for Jacques, for the cast, for the incredible crew who deserves it, for the beautiful adventure we all had together, to let the work talk for itself."" She also reiterated her regret for her original tweets, saying that she wanted to ""sincerely apologise to everyone who has been hurt along the way"".  Emilia Pérez star says she will stay in Oscars race despite row Selena Gomez 'shines' in new Oscar-tipped musical..."
BBC,0.1139852273145831,Netflix raises subscription prices in the UK ,https://www.bbc.co.uk/news/articles/c98yrp0pyrjo,,"Netflix has increased its subscription prices in the UK, after it raised its charges in the US, Canada, Argentina and Portugal last month. The new UK price for a Standard subscription without adverts, the platform's most popular plan, has risen by £2 to £12.99 a month, with other packages also increasing. A spokesperson said the hike would allow Netflix to ""continue to invest in programming and deliver more value for our members"". The streaming service reported record global subscriber numbers at the end of 2024, driven in part by its expanding sports coverage. Netflix's price increases - the first in the UK since October 2023 - will affect all subscription plans. The Standard subscription with adverts is rising by £1 to £5.99 a month, while the  most expensive Premium subscription is also increasing by £1 to £18.99 a month. The platform is also increasing the cost of its Extra Member add-ons by £1. For a Standard subscription with adverts, the fee to add an extra member will go up from £3.99 to £4.99. Meanwhile, for a Standard subscription without adverts, the fee for an extra member will rise from £4.99 to £5.99. Netflix has reflectedthe price changes on its website,external, with the new prices applying to both new and existing customers. ""We will occasionally ask our members to pay a little more so that we can re-invest to further improve Netflix,"" the streamer said. Paolo Pescatore, a technology analyst at PP Foresight, said Netflix's subscription increases were ""widely expected"". ""The streaming business is following mainstream TV in its price rises, and we should get accustomed to them."" However, he added: ""Netflix must tread extremely carefully… there is a ceiling, a point at which consumers will become incredibly frustrated by price hikes."" Netflix is not the only platform to raise its subscription costs - streaming giants such as Disney+, Spotify, and Paramount+ also increased their prices worldwide in 2024. Netflix began enforcing a password-sharing ban in May 2023 in the UK and the US, which led to millions of new signups over the following year. The company said it finished 2024 with more than 300 million subscribers in total. It had been expected to add 9.6 million new subscribers between October and December but far surpassed that number, adding nearly 19 million subscribers in the final months of the year. Netflix says its huge increase in streamers was helped by the second series of South Korean drama Squid Game as well as the expansion of its sports coverage. The platform streamed two NFL games on Christmas Day and hosted a boxing match between influencer-turned-fighter Jake Paul and former world heavyweight champion Mike Tyson. Net profit between October and December doubled from a year earlier to $1.8bn, while sales rose from $8.8bn to $10.2bn. Netflix to raise prices as new subscribers soar WWE kicks off Netflix era with return of big stars Netflix expands password sharing crackdown to UK..."
BBC,0.1139852273145831,Jersey actress lands Netflix drama role,https://www.bbc.co.uk/news/articles/cn4z00gkxweo,,"Gigi Neil has been cast as Donna in Virgin River A Jersey actress has secured a role in a popular Netflix romance drama. Gigi Neil has been cast as Donna, the sister of Jack Sheridan, in Virgin River which comes after what she described as a ""bumpy"" five-year journey of auditions. The series follows a nurse seeking a fresh start away from Los Angeles as she moves to a small town in northern California. Ms Neil will appear in two episodes of the sixth season. Ms Neil said she feels well supported by islanders ""I absolutely adored Virgin River, so when I got the audition, I couldn't believe it,"" she said. ""I'm so excited to see the show being so celebrated because it deserves all the recognition."" Ms Neil's love for performing began at the age of six, encouraged by her mother, a ballet teacher. By 16 she knew she was ready to pursue acting professionally but admitted she recognised the challenges presented to her by living in the Channel Islands. ""Doors aren't naturally open for us because we're geographically further from where everything happens in entertainment,"" she said. ""But I loved growing up in Jersey, and I really treasure being from the Channel Islands - the community is always there for you."" After five years of living in Vancouver, Ms Neil said further challenges were presented by the pandemic and theHollywood strikes. In 2024, Ms Neil worked four jobs just to pay her rent, attend acting classes, and maintain a rigorous gym training routine. ""I want to be a trusted performer and actress that people want to work with consistently,"" she said. ""But that takes a lot of practise, dedication, and hours honing your craft."" Follow BBC Jersey onX,externalandFacebook,external. Send your story ideas tochannel.islands@bbc.co.uk,external. Taxpayers contributing £1.2m to Bergerac reboot New Bergerac show will be great for Jersey - actor Bergerac star urges government to buy war tunnels..."
BBC,0.1139852273145831,"Netflix's Toxic Town, set in Corby, to be released on 27 February",https://www.bbc.co.uk/news/articles/c8d9yp9mv85o,,"Toxic Town star Jodie Whittaker (centre) was the 13th Doctor in Doctor Who A Netflix drama based on a town's toxic waste scandal will be streamed at the end of February. Toxic Town,external, which depicts the real-life battle of families in Corby whose children were born with defects, will air on 27 February. Many reached an out-of-court settlement after Corby Borough Council admitted it had made mistakes in the clean-up of the Northamptonshire town's former steelworks. The four-part series stars Jodie Whittaker, Aimee Lou Wood, Robert Carlyle, Rory Kinnear, and Brendan Coyle, who is originally from Corby. The steelworks in Corby, pictured, closed in 1981 The drama's synopsis described what happened in Corby as ""one of the UK's biggest environmental scandals"". It said Toxic Town focussed on mothers who fought a ""David and Goliath battle for justice"". After British Steel shut down its operations in 1979, it took 15 years to demolish the site and remove waste. Contractors hired by the council were said to have little experience handling toxic materials. Eighteen families claimed their 19 children were born with upper limb defects due to the removal operation. The mothers said they had been exposed to contaminated dirt while pregnant. In 2009, the High Court ruled that Corby Borough Council was negligent in managing the toxic waste. Toxic Town is written by Jack Thorne, known for His Dark Materials and Harry Potter and the Cursed Child. A podcast called ""In Detail: The Toxic Waste Scandal"" being made by BBC Northampton for BBC Sounds will be launched in March. Do you have a story suggestion for Northamptonshire? Follow Northamptonshire news onBBC Sounds,Facebook,external,Instagram,externalandX,external. Town's toxic waste scandal to become Netflix drama Netflix: Toxic Town..."
BBC,0.1139852273145831,Liam Payne to feature as guest judge in Netflix show Building the Band,https://www.bbc.co.uk/news/articles/c75zvngx9kpo,,"Netflix will release a talent show judged by One Direction star Liam Payne later this year, it has confirmed. Building the Band was one of the last projects Payne worked on before he died at the age of 31 following a fall from a hotel balcony in Buenos Aires, Argentina, last October. The singer filmed his role as a judge in the series alongside Destiny's Child singer Kelly Rowland and Pussycat Doll Nicole Scherzinger. Netflix has not announced a date, but confirmed the release as it revealed a raft of new TV and film content for 2025. Building the Band brings together singers seeking to form their very own band, in a concept similar to Love is Blind as they are kept in separate booths without seeing each other. The show's synopsis says: ""All they have to go on is musical compatibility, connection, chemistry and merit... with incredible performances, compelling drama, and one big goal - to find the next great music band - the stage is set for an unforgettable experience."" Backstreet Boys star AJ Mclean will host the series, with Pussycat Dolls star Nicole Scherzinger taking on the role of mentor and judge on the show, while Payne and Rowland will appear as guest judges. Scherzinger was a judge on The X Factor when Payne auditioned in 2010 as a solo contestant, before being grouped with Harry Styles, Zayn Malik, Niall Horan and Louis Tomlinson to form One Direction. Liam Payne: What Happened This is the story of the former One Direction star Liam Payne who tragically died aged 31 while on holiday in Argentina. What we know about Liam Payne's death One Direction stars mourn Liam Payne at funeral Five charged in connection with Liam Payne's death Payne's former partner Cheryl, the mother to his son Bear, as well as his fellow One Direction bandmates, were among those who attended his funeral in Buckinghamshire in November. An investigation by the Public Prosecutor's Office in Argentina is continuing following his death. Five people have been charged over his death, including the singer's friend Roger Nores, the hotel's manager, and a receptionist – who were all accused of manslaughter. Argentina's National Criminal and Correctional Prosecutor's Office previously said in a statement that a hotel employee and waiter have been charged with supplying cocaine. A hearing to ascertain how Payne died, held at Buckinghamshire Coroner's Court in December, has been adjourned until a pre-inquest review on 6 November...."
BBC,0.1139852273145831,Lynn Ban: Singaporean star of Bling Empire dies after ski accident,https://www.bbc.co.uk/news/articles/cr53897vn3no,,"Ban's death followed a ski accident on Christmas Eve Lynn Ban, a celebrity jewellery designer from Singapore who starred in the Netflix reality show Bling Empire, has died a month after undergoing brain surgery following a ski accident. Her son Sebastian confirmed her death on an Instagram post on Wednesday, where he paid tribute to his 51-year-old mum as a ""best friend and the best mother"". The accident happened in Aspen in the US on Christmas Eve. Ban's family did not reveal her immediate cause of death. In a social media post on New Year's Eve, Ban had revealed that while skiing at the top of a mountain she had fallen and ""face planted"". As she was wearing a helmet, ""it didn't seem that bad at the time and I was able to ski to the bottom,"" she had said, adding that a ski patrol officer later checked for a concussion and cleared her. But she still had ""a bit of a headache"" and decided to go to a hospital, on the advice of a paramedic. She then discovered she had a brain bleed, and went for an emergency craniotomy. ""In a blink of an eye... life can change,"" she had written in the post, which was accompanied by a picture of her in bed with her head partially shaved. ""There's a long road of recovery ahead but I'm a survivor."" Born in Singapore, Ban had worked in New York, London and Paris. Her designs have been worn by pop stars Madonna, Beyonce, Rihanna, Lady Gaga, Cardi B and Billie Eilish, according to her website. On Bling Empire New York in 2023, she was part of a cast of Asian American socialites who ""flaunt their fortunes — and fashions — while bringing the drama and living it up in New York City"", according to Netflix. In his tribute, Sebastian Ban said he wanted the world to know who his mum was as a person. ""She always had a smile on her face even when times are tough during her recovery process,"" he said. ""She is a fighter until the end and is the strongest woman I know,"" he said...."
BBC,0.1139852273145831,Ruth Jones to star in new Harlan Coben Netflix series Run Away,https://www.bbc.co.uk/news/articles/cj3ejjj1xzno,,"Ruth Jones will play Elena Ravenscroft in Netflix's Run Away Fresh from her success in Gavin and Stacey, Ruth Jones is to play a lead role in the latest Netflix adaption of the work of US thriller writer Harlan Coben. She will star opposite Cold Feet star James Nesbitt in the eight-part series of Coben's book Run Away, published in 2019. Jones co-wrote and starred as Nessa inGavin and Stacey, the final episode of which became one of themost watched scripted TV shows of the century. British-American actress Minnie Driver and Alfred Enoch, who played Dean Thomas in the Harry Potter series, will also star in Run Away. Nessa from Gavin & Stacey reads Shipping Forecast for centenary Gavin and Stacey gang in first official photo Gavin and Stacey cast 'in tears' as show wraps Jones will play Elena Ravenscroft in the series, which follows Simon's [Nesbitt] life fall apart after his daughter Paige, played by Ellie de Lange, runs away. Filming of the series starts in Manchester and north-west England later this month, with the story relocated to the UK from the US in keeping with previous Netflix Coben adaptions - of which this is the thirteenth. ""Jimmy Nesbitt, Ruth Jones, Alfred Enoch, Lucian Msamati and Minnie Driver - the cast is an embarrassment of riches. I can't wait to start filming,"" Coben said. Danny Brocklehurst, who has adapted several Coben novels including Fool Me Once starring Michelle Keegan and Dame Joanna Lumley, will be lead writer. ""Fool Me Once's phenomenal success has set a high bar but with Run Away's emotionally universal storyline and great cast, hopefully we can give audiences another fantastic ride,"" he said. Actor watched darts instead of her Netflix show Welsh stars of Netflix hit say success is wild Why the North West is the setting for Fool Me Once..."
BBC,0.1139852273145831,Netflix to raise prices as Squid Game 2 and sport fuel subscribers,https://www.bbc.co.uk/news/articles/c62693x4qr2o,,"The second series of South Korean drama Squid Game helped boost subscriber numbers Netflix will raise prices across a number of countries after adding nearly 19 million subscribers in the final months of 2024. The streaming firm said it will increase subscription costs in the US, Canada, Argentina and Portugal. Asked if prices were set to increase in the UK, a spokesperson for Netflix said there was ""nothing to share right now"". Netflix announced better-than-expected subscriber numbers, helped by the second series of South Korean drama Squid Game as well as sports including a boxing match between influencer-turned-fighter Jake Paul and former world heavyweight champion Mike Tyson. In the US, prices will increase across almost all plans including the standard subscription with no adverts which will now cost $17.99 (£14.60) a month, up from $15.49. Its membership with adverts will also rise, by one dollar to $7.99. The last time Netflix raised prices in the US was October 2023, when it also lifted costs for some plans in the UK. ""We will occasionally ask our members to pay a little more so that we can re-invest to further improve Netflix,"" it said. Meanwhile, the company said it finished last year with more than 300 million subscribers in total. It had been expected to add 9.6 million new subscribers between October and December but far surpassed that number. It is the last time that Netflix will report quarterly subscriber growth - from now on it said it will ""continue to announce paid memberships as we cross key milestones"". As well as Squid Game and the Paul v Tyson fight, Netflix also streamed two NFL games on Christmas Day. It will also broadcast more live events including WWE wrestling and has bought the rights for the FIFA Women's World Cup in 2027 and 2031. Paolo Pescatore, a technology analyst at PP Foresight, said Netflix ""is now flexing its muscles by adjusting prices given its far stronger and diversified programming slate compared to rivals"". Net profit between October and December doubled to $1.8bn compared to the same period a year ago. Sales rose from $8.8bn to $10.2bn. Are you a Netflix subscriber? Get in touch WWE kicks off Netflix era with return of big stars Slicing veggies, baking cakes - will Meghan's rebrand work?..."
BBC,0.1139852273145831,Netflix Missing You star watched Luke Littler's darts win instead,https://www.bbc.co.uk/news/articles/c7vddryevpdo,,"Catherine Ayers said it was a ""shock"" to see herself on screen A Welsh actor who starred in one of Netflix's most popular shows of the new year said her love of the darts distracted her from watching herself. Catherine Ayers plays Nia in Harlan Coben's latest book adaptation Missing You. The thriller follows a detective as she uncovers the truth about her fiance's  disappearance. But Ayers, engrossed byLuke Littler's historic first victory, found herself watching the darts instead. Catherine Ayers (right) stars as Nia in Harlan Coben's latest book adaptation Missing You ""I filmed this around this time last year, but then life moves on, and all of a sudden you're on this hit show,"" she toldRadio Wales Breakfast. One of the highlights of filming was meeting her idol Steve Pemberton - one of the  creators of Bafta award-winning seriesInside No. 9. ""That was the most star struck that I've ever been. He was lush,"" she said. Ayers, who also featured in drama Keeping Faith, found the whole process extremely exciting, but admitted it took a ""couple of days"" after its release before she watched it herself. ""I was obsessed with the darts and that finished on 3 January. So Missing You had to hang on until after the darts."" She enjoyed it so much it now feels like there is a ""massive gap"" in her life. As presenter Catrin Heledd suggested, a role as ""Luke Littler's girlfriend in a biography of his life"" might be able to fill that void. Catherine Ayers and other actors starring in Missing You at one of the set locations Welsh stars of Netflix hit say success is wild Netflix airs first Welsh language drama Netflix doc explores UFO and alien 'Bermuda Triangle'..."
