user_username,user_display_name,user_profile_url,text,hashtags,mentions,has_image,has_video,timestamp,tweet_url,tweet_id,views,is_retweet,extracted_at
Hooman,Hooman,https://twitter.com/hoomansv,"Just to put things in perspective:

$UBER at $140B market cap is expected to report $0.56 EPS and $2.4B in FCF this quarter

$TSLA at $1.25T market cap just reported $0.73 EPS and $2B in FCF just now

As David Einhorn put it, “we’ve entered the Fartcoin stage of the cycle”",,,True,False,2025-01-30T00:22:01.000Z,https://twitter.com/hoomansv/status/1884758934365356167,1884758934365356167,111000,False,2025-02-26T20:57:35.019992
Balaji Krishnamurthy,Balaji Krishnamurthy,https://twitter.com/_balaji_km,"In @Uber’s earnings slides and prepared remarks this quarter we went deeper on our AV strategy. We believe AV can open up a $1T+ TAM for Uber in the US alone -- but while AV tech is advancing, commercialization will happen much more slowly.

Multiple elements still need to come",,@Uber,True,False,2025-02-06T17:53:14.000Z,https://twitter.com/_balaji_km/status/1887560197662556316,1887560197662556316,74000,False,2025-02-26T20:57:35.019992
Anthony Pompliano,Anthony Pompliano,https://twitter.com/APompliano,"This is an incredible chart for Uber's operating income. 

Exactly how the venture capital playbook is supposed to be run.",,,True,False,2025-01-05T14:40:07.000Z,https://twitter.com/APompliano/status/1875915186345050226,1875915186345050226,482000,False,2025-02-26T20:57:35.026624
Brad Gerstner,Brad Gerstner,https://twitter.com/altcap,"Never bet against @dkhos.  Btw - the @BillAckman news dropped while Dara, Diller & I on stage together in Miami.  At 33 M rides a day $UBER clearly the market leader - plus Dara understands the risks of robotaxi.  One of greatest financial turn arounds in biz history.",,"@dkhos,@BillAckman",True,False,2025-02-07T18:52:47.000Z,https://twitter.com/altcap/status/1887937570186621034,1887937570186621034,212000,False,2025-02-26T20:57:35.032185
Quartr,Quartr,https://twitter.com/Quartr_App,"$UBER Q4 2024

""We believe we remain undervalued despite these strong fundamentals, and plan to be active and opportunistic buyers of our stock."" – Prashanth Mahendra-Rajah, CFO

MAPCs* +14%
Trips +18%
Gross Bookings +18%
Revenue +20%
*Mobility +25%
*Delivery +21%
*Freight 0%",,,True,False,2025-02-05T12:10:38.000Z,https://twitter.com/Quartr_App/status/1887111590199042478,1887111590199042478,54000,False,2025-02-26T20:57:38.462452
Riggs Eckelberry,Riggs Eckelberry,https://twitter.com/riggseck,"Over the past 10 years, Uber has upended the taxi industry, shattering its traditional model while simultaneously expanding its scope and making it more accessible by drastically increasing the number of drivers—yet the industry still hasn’t recovered or adapted.

People now",,,True,False,2025-02-21T20:22:39.000Z,https://twitter.com/riggseck/status/1893033616726245495,1893033616726245495,121,False,2025-02-26T20:57:44.837329
Accrued Interest,Accrued Interest,https://twitter.com/accrued_int,"strong agree $UBER is cheap on #FCF, buying more today. Also @returnoncap - given high #EBITDA to #FCF conversion, and the organic growth still high double digits it's quite cheap on 2026 #'s. This stock can work for a long time without much risk, imo","#FCF,#EBITDA,#FCF",@returnoncap,True,False,2025-02-20T14:48:21.000Z,https://twitter.com/accrued_int/status/1892587098282119562,1892587098282119562,1800,False,2025-02-26T20:57:48.049720
Long-Term Pick,Long-Term Pick,https://twitter.com/long_term_pick,"Uber's 27.5% stake in Grab, acquired through the merger of their Southeast Asian operations in 2018, is a strategic win for the company. Here are the key benefits for Uber:

• Strategic Ownership in a Market Leader: By exiting direct operations in Southeast Asia, Uber secured",,,True,False,2025-02-25T10:30:01.000Z,https://twitter.com/long_term_pick/status/1894334024841359559,1894334024841359559,17,False,2025-02-26T20:57:54.037422
MeaningfulNonsense,MeaningfulNonsense,https://twitter.com/meaningnonsense,"X is being taken over by $UFD
X is being taken over by $UFD
X is being taken over by $UFD
X is being taken over by $UFD
X is being taken over by $UFD
X is being taken over by $UFD
X is being taken over by $UFD
X is being taken over by $UFD
X is being taken over by $UFD
X is being",,,False,False,2025-01-13T08:28:31.000Z,https://twitter.com/meaningnonsense/status/1878720772681957864,1878720772681957864,4900,False,2025-02-26T20:57:55.860868
FinChat,FinChat,https://twitter.com/finchat_io,"Uber is showing some impressive profitability at scale.

Why wouldn't this continue over the next 5 years?

$UBER",,,True,False,2025-01-03T15:00:12.000Z,https://twitter.com/finchat_io/status/1875195464406225240,1875195464406225240,49000,False,2025-02-26T20:57:58.175390
FinChat,FinChat,https://twitter.com/finchat_io,"Uber's operating leverage over the last 5 years has been astounding.

Adj. EBITDA Margin:
Q4 2019: -21%
Q4 2024 15%

$UBER",,,True,False,2025-02-05T14:34:02.000Z,https://twitter.com/finchat_io/status/1887147677261185272,1887147677261185272,23000,False,2025-02-26T20:58:03.990281
IX-A,IX-A,https://twitter.com/westcarlif,"Still on this uber might have the largest share but low profit margins compared to Tesla same to the way Apple is in the phone market.
https://status/1893051645778395391?t=wx-YGsMs14asAH0JrjK8cg&s=19…",,https://x.com/SawyerMerritt/status/1893051645778395391?t=wx-YGsMs14asAH0JrjK8cg&s=19…,False,False,2025-02-22T06:34:35.000Z,https://twitter.com/westcarlif/status/1893187615349748005,1893187615349748005,19,False,2025-02-26T20:58:06.339101
Shay Boloor,Shay Boloor,https://twitter.com/StockSavvyShay,"$UBER Q4 Earnings 

• Sales $11.96B vs Est. $11.77B
• EPS $3.21 vs Est. $0.66
• EBITDA $1.84B vs Est. $1.85B

Q1 Guidance 
• Gross Bookings $43B vs Est. $43.5B
• EBITDA $1.85B vs Est. $1.84B",,,True,False,2025-02-05T12:02:42.000Z,https://twitter.com/StockSavvyShay/status/1887109592628474274,1887109592628474274,44000,False,2025-02-26T20:58:08.593203
