user_username,user_display_name,user_profile_url,text,hashtags,mentions,has_image,has_video,timestamp,tweet_url,tweet_id,is_retweet,extracted_at
Yaseen Aslam,Yaseen Aslam,https://twitter.com/Yaseenaslam381,"#Uber drivers in Canada protest on Tuesday 28 Sept at 10.30am to 12.30pm Outside Uber Toronto Office, 1980 MATHESON BLVD, EAST, MISSISSAUGA, ON L4W 5N3

#UberStrike#UberToronto#UberProtest#Toronto#GigEconomy#workersrighthttps:///ADCUnion/status/1441791036779491338…","#Uber,#UberStrike,#UberToronto,#UberProtest,#Toronto,#GigEconomy,#workersright",https://x.com/ADCUnion/statu/ADCUnion/status/1441791036779491338…,False,False,2021-09-25T16:11:27.000Z,https://twitter.com/Yaseenaslam381/status/1441797507047038980,1441797507047038980,False,2025-02-26T20:58:44.593191
DRIVE NOW Magazine,DRIVE NOW Magazine,https://twitter.com/drivenowmag,"Hundreds of taxis joined a protest in central Barcelona on Thursday to protest against the return of Uber which had pulled out of the city in 2019 following a dispute.

READ MORE: https:// <--
.
.
.
#barcelonataxi#taxi#taxidrivers#uber#ubernews#uberdriver#bar","#barcelonataxi,#taxi,#taxidrivers,#uber,#ubernews,#uberdriver,#bar",,True,False,2021-03-20T03:15:12.000Z,https://twitter.com/drivenowmag/status/1373110848999235590,1373110848999235590,False,2025-02-26T20:58:44.594896
Stefanie Carillo,Stefanie Carillo,https://twitter.com/StefanieCarillo,"A protest means NOT GOING TO WORK. Not creating traffic. I’m in an #uber right now and this #uberprotest is dumb, unsafe and I’m glad the nypd are now getting involved. Not my fault ya’ll can’t organize enough to pull off a successful protest. FIGURE IT OUT","#uber,#uberprotest",,False,False,2019-09-17T13:22:25.000Z,https://twitter.com/StefanieCarillo/status/1173950334584184832,1173950334584184832,False,2025-02-26T20:58:44.603936
Startup Domains,Startup Domains,https://twitter.com/RoyalPremiums,"Uber, Lyft drivers protest in cities across the U.S.
#UBERprotest#LyftProtesthttps://uber-lyft-strike-us-1.5127421…","#UBERprotest,#LyftProtest",,False,False,2019-05-08T17:51:25.000Z,https://twitter.com/RoyalPremiums/status/1126182831653367808,1126182831653367808,False,2025-02-26T20:58:44.608606
Tracey nolls,Tracey nolls,https://twitter.com/NollsTracey,Live stream of protest. Uber drops drivers pay to $.60 a mile https://#uber#uberla#uberprotest,"#uber,#uberla,#uberprotest",,False,False,2019-03-25T19:17:48.000Z,https://twitter.com/NollsTracey/status/1110259506120933376,1110259506120933376,False,2025-02-26T20:58:44.612451
Lorna Roberts plus model,Lorna Roberts plus model,https://twitter.com/lornaphotosnap,#blackfriarsroad + #blackfriarsbridge at standstill #uber#taxi drivers #protest#uberprotest#taxiprotest#tfl#news,"#blackfriarsroad,#blackfriarsbridge,#uber,#taxi,#protest,#uberprotest,#taxiprotest,#tfl,#news",,False,False,2019-01-14T11:55:38.000Z,https://twitter.com/lornaphotosnap/status/1084781081415610368,1084781081415610368,False,2025-02-26T20:58:44.618792
Mumbai24News,Mumbai24News,https://twitter.com/mumbai24news,"Congress Mumbai Head @sanjaynirupam on Ola/ UberProtest at Azad Maidan | Mumbai | Maharashtra | India | 2018

Follow Mumbai24News on Youtube for more News & Updates...

#Ola#Uber#OlaProtest#UberProtest#Mumbai#News#breaking#breakingnews#India#Congress@INCMumbai #2018","#Ola,#Uber,#OlaProtest,#UberProtest,#Mumbai,#News,#breaking,#breakingnews,#India,#Congress","@sanjaynirupam,@INCMumbai",True,False,2018-11-03T16:57:49.000Z,https://twitter.com/mumbai24news/status/1058765199556009984,1058765199556009984,False,2025-02-26T20:58:44.624395
Yaseen Aslam,Yaseen Aslam,https://twitter.com/Yaseenaslam381,"@JonCruddas_1Uber drivers going on strike in 3 different UK cities, in the first UK national strike in the sharing economy. 
Will you support & join drivers from your constituency who w protest outside Uber Aldgate at 1pm on 9th Oct?
#uberprotest#Ustrikehttps://tus/1048522939069603840…","#uberprotest,#Ustrike","@JonCruddas_1,https://x.com/united_phd/status/1048522939069603840…",False,False,2018-10-07T23:01:53.000Z,https://twitter.com/Yaseenaslam381/status/1049072347976749056,1049072347976749056,False,2025-02-26T20:58:55.593526
Yaseen Aslam,Yaseen Aslam,https://twitter.com/Yaseenaslam381,"@FitzMP Uber drivers going on strike in 3 different UK cities, in the 'first UK national strike in the sharing economy' 

Will you support & join drivers from your constituency who will protest outside Uber Aldgate at 1pm on 9th Oct?

#uberprotest#Ustrikehttps://tus/1048522939069603840…","#uberprotest,#Ustrike",https://x.com/united_phd/status/1048522939069603840…,False,False,2018-10-07T22:52:56.000Z,https://twitter.com/Yaseenaslam381/status/1049070097451683850,1049070097451683850,False,2025-02-26T20:58:55.599626
Yaseen Aslam,Yaseen Aslam,https://twitter.com/Yaseenaslam381,"@rushanaraaliUber drivers going on strike in 3 different UK cities, in the 'first UK national strike in the sharing economy' 

Will you support & join drivers from your constituency who protest outside Uber Aldgate at 1pm on 9th Oct?
#uberprotest#Ustrikehttps://tus/1048522939069603840…","#uberprotest,#Ustrike","@rushanaraali,https://x.com/united_phd/status/1048522939069603840…",False,False,2018-10-07T22:49:50.000Z,https://twitter.com/Yaseenaslam381/status/1049069316967157760,1049069316967157760,False,2025-02-26T20:58:57.459522
Eboue #1 fan,Eboue #1 fan,https://twitter.com/tait_aaron,"Uber protesting outside Aldgate East tower, causing traffic and blocking roads #uber#protest#aldgateeast#uberprotest","#uber,#protest,#aldgateeast,#uberprotest",,True,False,2018-09-20T13:45:54.000Z,https://twitter.com/tait_aaron/status/1042771837720125441,1042771837720125441,False,2025-02-26T20:58:57.464548
Jacaranda FM Traffic,Jacaranda FM Traffic,https://twitter.com/jaca_traffic,"PRETORIA  
      
UBER DRIVER PROTEST heading through through the Pretoria CBD. EXPECT DELAYS in the area. #UberProtest",#UberProtest,,False,False,2018-03-09T09:44:50.000Z,https://twitter.com/jaca_traffic/status/972045535719972864,972045535719972864,False,2025-02-26T20:59:01.345069
IBTimes UK Business,IBTimes UK Business,https://twitter.com/IBTimesUKBiz,Another #Uber tussle: Drivers protest regulation of ride-sharing apps in #Brazilhttp://#Uberprotest,"#Uber,#Brazil,#Uberprotest",,False,False,2017-10-31T09:58:13.000Z,https://twitter.com/IBTimesUKBiz/status/925300871960940544,925300871960940544,False,2025-02-26T20:59:01.345069
Philip Wigg,Philip Wigg,https://twitter.com/philipwigg,Where/when is the London Uberprotest going to be? #UberProtest#uber,"#UberProtest,#uber",,False,False,2017-09-22T10:38:48.000Z,https://twitter.com/philipwigg/status/911177958215307264,911177958215307264,False,2025-02-26T20:59:01.345069
Yaseen Aslam,Yaseen Aslam,https://twitter.com/Yaseenaslam381,"Not long for 27th September protest ""End Precarious Labour"" organised by @IWGBunion & @United_PHD members Vs Uber kick off. #UberProtest",#UberProtest,"@IWGBunion,@United_PHD",True,False,2017-09-04T04:03:00.000Z,https://twitter.com/Yaseenaslam381/status/904555367929176065,904555367929176065,False,2025-02-26T20:59:03.373527
