username,tweet_text,timestamp
Rafiq Halima,"Sell Gold @2898 -2902

Sl :2904

Tp1 :2896.5
Tp2 :2893

Enter Slowly-Layer with proper money management

Do not rush your entries #GOLD #BTCUSD #USDJPY $EURJPY #USDCAD $GBPCAD #USOIL #UBER $AAPL $BAC $TESLA",2025-02-26T14:47:34.000Z
Sag queen,"I need tea on the uber story, what happened? lol you close this app for a few hours and the rest of yol are miles ahead I’m totally lost #Uber",2025-02-26T14:22:58.000Z
Stuti Sardana,Highly disappointed with the #Uber drivers and their unprofessional behavior. @Uber _Support 's response over the issues raised is even more pathetic. @Uber _India wants me to pay for the reason that #uberdriver has refused to go to my drop location. Shameful @Uber @UberIN_Support,2025-02-26T13:57:20.000Z
Phil,I'll believe you when you Audit #uber,2025-02-26T13:34:42.000Z
Mike O'Connor,Long Uber if you believe automation will save them. Short it if you think they will never get rid of human drivers. #Automation #Uber,2025-02-26T13:05:10.000Z
Debbie Smith,Uber Sued By Women Alleging Sexual Assault By Drivers. The ride-hailing company is accused of knowing about the incidents since at least 2014 but failing to take adequate safety actions. #Uber,2025-02-26T12:13:05.000Z
Rafiq Halima,"Sell Gold @2913 .9-2917.9

Sl :2919.9

Tp1 :2912.4
Tp2 :2909.4

Enter Slowly-Layer with proper money management

Do not rush your entries #GOLD #BTCUSD #USDJPY $EURJPY #USDCAD $GBPCAD #USOIL #UBER $AAPL $BAC $TESLA",2025-02-26T09:52:36.000Z
Raman Iyer,"#uber MUST TEACH ETIQUETTE!
Booked Uber Thane to Vileparle. The #uberdriver say he will go only as per his Google Map displayed in his Mobile. I suggested him alternate ways. He straight away denied me. On top of it he said you can get out of the cab. He said in an angry tone.",2025-02-26T08:46:36.000Z
Rafiq Halima,"Sell Gold @2912 .5-2916.5

Sl :2918.5

Tp1 :2911
Tp2 :2908.5

Enter Slowly-Layer with proper money management

Do not rush your entries #GOLD #BTCUSD #USDJPY $EURJPY #USDCAD $GBPCAD #USOIL #UBER $AAPL $BAC $TESLA",2025-02-26T07:32:41.000Z
Praveen | பிரவீன்,"Less time on Auto booking, No big bargains like earlier. The ""Pay Direct to Auto Driver"" initiative works well. Hope it continues. @Uber @Uber _Support #Uber #Chennai #Travel #TamilNadu",2025-02-26T04:15:20.000Z
Christof Hans Otterman,"'icanseewhyshelikesyou,nottoobrighttho' #oracle #andyet #road #damascus #moment #malum #apriori #inevitable #backasswords #uber come #manifold #paths #trodden #force /s of #evil #enemies #alts #underfoot #twice +1 #numbercountersMAD #missionary #funniestguyiknow #mask ? #grandfinale",2025-02-26T04:12:42.000Z
